,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.42,19.23,57.0,92,43,1.97,ZA,1603773188
1,puerto cabezas,14.04,-83.39,78.49,87,100,3.71,NI,1603773532
2,dikson,73.51,80.55,10.35,95,87,17.92,RU,1603773185
3,chapada dos guimaraes,-15.46,-55.75,78.8,69,20,6.93,BR,1603773457
4,ushuaia,-54.8,-68.3,44.6,48,20,14.99,AR,1603772899
5,bereda,43.27,-7.54,51.01,95,100,13.0,ES,1603773194
6,coquimbo,-29.95,-71.34,53.6,87,0,5.82,CL,1603773532
7,rikitea,-23.12,-134.97,75.52,87,97,17.25,PF,1603773532
8,bluff,-46.6,168.33,55.99,66,12,8.01,NZ,1603773533
9,hilo,19.73,-155.09,75.2,88,90,4.7,US,1603772945
10,georgetown,5.41,100.34,86.0,70,40,6.93,MY,1603773149
11,muros,42.78,-9.06,57.0,88,100,11.99,ES,1603773196
12,pennagaram,12.13,77.9,84.2,70,20,2.82,IN,1603773533
13,thompson,55.74,-97.86,23.0,62,75,8.05,CA,1603773178
14,vostok,46.49,135.88,43.81,62,96,3.0,RU,1603773216
15,kogon,39.72,64.55,51.8,43,0,5.95,UZ,1603773458
16,punta arenas,-53.15,-70.92,41.0,71,20,14.99,CL,1603773064
17,deputatskiy,69.3,139.9,4.12,90,100,1.86,RU,1603773181
18,carroll,39.55,-77.02,60.01,100,94,2.19,US,1603773458
19,castro,-24.79,-50.01,61.34,97,73,4.56,BR,1603773187
20,busselton,-33.65,115.33,72.0,54,85,7.0,AU,1603773458
21,saldanha,-33.01,17.94,59.0,82,43,9.17,ZA,1603773203
22,cidreira,-30.18,-50.21,65.34,92,100,14.23,BR,1603773197
23,ostersund,63.18,14.64,42.01,100,100,9.17,SE,1603773198
24,yurimaguas,-5.9,-76.08,76.6,80,100,2.1,PE,1603773458
25,hobart,-42.88,147.33,59.0,62,75,11.41,AU,1603773458
26,port alfred,-33.59,26.89,69.33,76,45,23.78,ZA,1603773184
27,vardo,70.37,31.11,35.6,93,40,16.11,NO,1603773188
28,sao filipe,14.9,-24.5,79.5,78,97,7.74,CV,1603773188
29,kodiak,57.79,-152.41,46.4,52,1,19.46,US,1603773204
30,zhoucheng,35.91,116.31,71.01,1,100,10.33,CN,1603773459
31,husavik,66.04,-17.34,33.8,69,90,3.36,IS,1603773220
32,rio gallegos,-51.62,-69.22,39.2,64,0,11.41,AR,1603773328
33,atuona,-9.8,-139.03,79.0,73,33,22.17,PF,1603773178
34,manjeshwar,12.72,74.89,82.4,78,20,3.27,IN,1603773459
35,khudumelapye,-23.88,24.75,73.58,30,49,15.37,BW,1603773459
36,urla,38.32,26.76,55.4,87,0,2.24,TR,1603773459
37,tolaga bay,-38.37,178.3,60.89,84,97,11.14,NZ,1603773459
38,norman wells,65.28,-126.83,24.8,73,75,13.87,CA,1603773074
39,klaksvik,62.23,-6.59,32.0,64,65,2.24,FO,1603773203
40,jamestown,42.1,-79.24,43.0,100,90,6.93,US,1603773183
41,cape town,-33.93,18.42,62.01,87,75,9.17,ZA,1603772950
42,sangar,63.92,127.47,8.37,94,100,9.1,RU,1603773186
43,bredasdorp,-34.53,20.04,62.6,93,52,5.08,ZA,1603773181
44,chokurdakh,70.63,147.92,5.7,95,99,8.23,RU,1603773184
45,west bay,19.37,-81.42,82.4,83,20,11.41,KY,1603773460
46,aldan,58.6,125.39,14.29,95,100,6.06,RU,1603773186
47,port augusta,-32.5,137.77,66.2,59,46,12.75,AU,1603773460
48,mahon,39.89,4.27,57.2,67,1,11.41,ES,1603773460
49,esperance,-33.87,121.9,80.6,51,1,12.75,AU,1603773215
50,ati,13.22,18.34,76.05,24,70,8.75,TD,1603773460
51,kapaa,22.08,-159.32,73.4,88,90,5.82,US,1603773187
52,rock sound,24.9,-76.2,82.45,80,95,12.5,BS,1603773460
53,tiksi,71.69,128.87,4.82,93,91,4.7,RU,1603773184
54,caledon,-34.23,19.43,57.0,92,28,2.86,ZA,1603773306
55,ikeda,34.82,135.43,69.8,43,20,6.93,JP,1603773460
56,yima,34.74,111.88,63.36,37,100,10.67,CN,1603773460
57,binghamton,42.1,-75.92,46.99,93,90,9.17,US,1603773461
58,ngunguru,-35.62,174.5,66.67,85,40,9.24,NZ,1603773461
59,puerto escondido,15.85,-97.07,77.0,78,90,5.82,MX,1603773190
60,dundalk,39.25,-76.52,59.0,100,90,2.95,US,1603773461
61,hofn,64.25,-15.21,37.47,77,84,14.97,IS,1603773461
62,aklavik,68.22,-135.01,10.4,85,75,5.82,CA,1603773182
63,banda aceh,5.56,95.32,87.35,59,21,14.25,ID,1603773461
64,bathsheba,13.22,-59.52,80.6,83,75,11.41,BB,1603773210
65,timizart,36.8,4.27,52.57,79,1,5.5,DZ,1603773461
66,kavaratti,10.57,72.64,84.2,79,40,4.7,IN,1603773461
67,hambantota,6.12,81.12,86.0,74,75,2.24,LK,1603773220
68,ambulu,-8.35,113.61,83.01,75,98,6.67,ID,1603773461
69,thinadhoo,0.53,72.93,83.16,67,46,7.49,MV,1603773208
70,waipawa,-41.41,175.52,50.0,87,100,19.46,NZ,1603773209
71,vila velha,-20.33,-40.29,72.0,83,20,4.7,BR,1603773201
72,hithadhoo,-0.6,73.08,83.48,66,48,8.5,MV,1603773202
73,iqaluit,63.75,-68.51,14.0,85,75,5.82,CA,1603773462
74,geraldton,-28.77,114.6,75.2,47,0,14.99,AU,1603773069
75,avarua,-21.21,-159.78,68.0,94,100,9.17,CK,1603773462
76,tasiilaq,65.61,-37.64,32.0,92,100,24.16,GL,1603773182
77,bengkulu,-3.8,102.27,83.12,67,100,5.17,ID,1603773462
78,ancud,-41.87,-73.82,45.0,93,90,4.7,CL,1603773204
79,port lincoln,-34.73,135.87,62.24,64,11,8.3,AU,1603773197
80,mataura,-46.19,168.86,55.99,66,69,8.01,NZ,1603773462
81,palkino,57.54,28.01,51.8,81,77,6.71,RU,1603773462
82,kiunga,-6.12,141.29,91.67,56,71,4.36,PG,1603773462
83,akureyri,65.68,-18.09,33.8,69,90,3.36,IS,1603773462
84,kolosovka,56.47,73.61,41.79,93,100,10.54,RU,1603773462
85,ponta do sol,32.67,-17.1,66.2,68,20,9.17,PT,1603773189
86,victoria,22.29,114.16,86.0,45,20,9.17,HK,1603773078
87,chernoyerkovskaya,45.43,37.77,50.0,81,0,4.47,RU,1603773463
88,mount gambier,-37.83,140.77,64.4,55,90,10.29,AU,1603773216
89,crestview,30.76,-86.57,73.0,94,40,5.7,US,1603773463
90,linares,-35.85,-71.6,48.34,77,100,4.16,CL,1603773410
91,kiboga,0.92,31.77,66.65,96,95,1.74,UG,1603773463
92,vaini,-21.2,-175.2,73.4,88,75,9.17,TO,1603773186
93,goderich,43.75,-81.72,44.01,88,100,8.84,CA,1603773463
94,dzaoudzi,-12.79,45.27,78.8,74,0,6.93,YT,1603773463
95,shingu,33.73,135.98,69.8,43,20,5.82,JP,1603773185
96,nikolskoye,59.7,30.79,50.0,87,90,8.95,RU,1603773183
97,ribeira grande,38.52,-28.7,67.35,84,75,13.13,PT,1603773186
98,isangel,-19.55,169.27,84.2,51,40,6.93,VU,1603773201
99,albany,42.6,-73.97,51.01,82,100,6.73,US,1603773395
